#1							
#Basel							
# 48.34         7.45          283.7            1							
#							
# hy	Ta	G_Bh	G_Dh	RH	N	FF	DD
double tab1(1776,8)							
521	-1.75	0	0	59	100	25.92	52.33
522	-1.75	0	0	62	100	22.49	50.19
523	-1.75	0	0	64	100	19.3	53.34
524	-1.75	0	0	65	100	20.09	53.75
525	-1.75	0	0	68	100	17.1	49.27
526	-1.75	0	0	71	100	14.02	48.12
527	-1.75	0	0	70	100	13.78	49.24
528	-1.75	0	0	70	100	11.46	43.73
529	-1.75	0	0	73	100	9.73	38.99
530	-1.75	0	0	79	100	8.71	29.74
531	-1.75	0	0	86	100	6.79	32.01
532	-1.75	0	0	92	100	4.9	342.9
533	-1.75	0	0	94	100	7.15	319.09
534	-1.75	0	0	94	100	8.71	308.29
535	-1.75	0	0	94	100	10.46	310.82
536	-1.75	0	0	93	100	9.2	300.58
537	-1.75	0	0	93	100	9.51	299.48
538	-1.75	0	0	88	100	8.79	304.99
539	-1.75	0	0	81	100	7.9	316.85
540	-1.75	0	0	74	100	5.15	335.22
541	-1.75	0	0	66	100	5.04	360
542	-1.75	0	0	49	100	16.78	67.29
543	-1.75	0	0	43	100	21.22	75.26
544	-1.75	0	0	45	100	23.32	81.12
545	-1.75	0	0	47	100	19.06	79.11
546	-1.75	0	0	53	100	14.51	66.61
547	-1.75	0	0	59	100	11.97	68.84
548	-1.75	0	0	64	100	9.57	70.2
549	-1.75	0	0	66	100	5.62	50.19
550	-1.75	0	0	74	100	3.05	315
551	-1.75	0	0	85	100	6.16	276.71
552	-1.75	0	0	89	100	5.86	280.62
553	-1.75	0	0	88	100	5.69	288.43
554	-1.75	0	0	86	100	6.29	293.63
555	-1.75	0	0	86	100	4.68	292.62
556	-1.75	0	0	87	100	2.04	315
557	-1.75	0	0	87	100	1.08	90
558	-1.75	0	0	86	100	2.9	119.74
559	-1.75	0	0	86	100	5.35	109.65
560	-1.75	0	0	82	100	9.45	107.74
561	-1.75	0	0	81	100	12.52	108.43
562	-1.75	0	0	77	100	16.18	110.85
563	-1.75	0	0	72	100	20.52	111.61
564	-1.75	0	0	66	100	19.59	107.1
565	-1.75	0	0	62	100	16.45	100.08
566	-1.75	0	0	58	100	16.62	107.65
567	-1.75	0	0	56	100	15.27	98.13
568	-1.75	0	0	56	100	13.34	93.09
569	-1.75	0	0	59	100	9.96	77.47
570	-1.75	0	0	64	100	6.49	56.31
571	-1.75	0	0	72	100	2.9	82.87
572	-1.75	0	0	74	100	3.6	143.13
573	-1.75	0	0	76	100	6.13	130.24
574	-1.75	0	0	82	100	7.1	120.47
575	-1.75	0	0	86	100	7.73	117.76
576	-1.75	0	0	88	100	7.57	115.35
577	-1.75	0	0	88	100	7.29	110.22
578	-1.75	0	0	87	100	6.95	111.25
579	-1.75	0	0	87	100	6.73	105.52
580	-1.75	0	0	88	100	6.49	109.44
581	-1.75	0	0	85	100	6.38	106.39
582	-1.75	0	0	84	100	6.88	96.01
583	-1.75	0	0	86	100	6.92	98.97
584	-1.75	0	0	88	100	5.4	90
585	-1.75	0	0	93	100	3.67	78.69
586	-1.75	0	0	87	100	1.84	348.69
587	-1.75	0	0	78	100	5.4	323.13
588	-1.75	0	0	69	100	9.42	316.55
589	-1.75	0	0	61	100	10.46	319.18
590	-1.75	0	0	60	100	10.95	316.33
591	-1.75	0	0	58	100	14.34	321.12
592	-1.75	0	0	57	100	17.5	323.37
593	-1.75	0	0	57	100	17.57	315.83
